style,squares,text
big,7,Wed.\nPosters\n(1-30)
big,7,Thurs.\nPosters\n(31-60)
big,7,Fri.\nPosters\n(61-90)
medium,30,* Press x in any aisle to view Poster Directory.\n* Press x near any poster to view it.\n* Step into gray squares to chat about a poster.
big,21,Poster Sessions 1 and 2
big,21,Poster Sessions 3 and 4
big,21,Poster Sessions 5 and 6
medium-centered,8,Press x to join the Zoom call for events scheduled in the West Room
medium-centered,20,Press x to join the Zoom call for events scheduled in the West Room
big,7,Sponsor\nHall
big,7,SRC\nPosters
big,7,East\nRoom
big,7,West\nRoom
big,7,Beach
big,7,Lounge
medium-centered,6,Address whole room from here
big,7,Poster\nSessions\n1 & 2
big,7,Poster\nSessions\n3 & 4
big,7,Poster\nSessions\n5 & 6
big,7,Gather\nCafé
medium,30,* Press x near any poster to view it.\n* Step into gray squares to chat about a poster.
big,29,Student Research Competition Posters
medium,7,*Press x for map*
small,5,A Something for something.
big,20,Poster Session 1 
big,20,Poster Session 3 
big,20,Poster Session 5 
big,20,Poster Session 2 
big,20,Poster Session 4 
big,20,Poster Session 6 
big,7,Posters\n1
big,7,Posters\n1-4
big,7,Posters\n3-4
big,7,Posters\n1-2
big,7,Posters\n3-6
big,7,Posters\n5-6
medium,29,Press x at any booth for more information.
