session,start,end,paperUID,posterNumber
pldi_talks1A,2021-06-23T13:00:00-00:00,2021-06-23T13:05:00-00:00,pldi.255,
pldi_talks1A,2021-06-23T13:05:00-00:00,2021-06-23T13:10:00-00:00,pldi.369,
pldi_talks1A,2021-06-23T13:10:00-00:00,2021-06-23T13:15:00-00:00,pldi.311,
pldi_talks1A,2021-06-23T13:15:00-00:00,2021-06-23T13:20:00-00:00,pldi.601,
pldi_talks1A,2021-06-23T13:20:00-00:00,2021-06-23T13:25:00-00:00,pldi.885,
pldi_talks1A,2021-06-23T13:25:00-00:00,2021-06-23T13:30:00-00:00,pldi.465,
pldi_talks1A,2021-06-23T13:30:00-00:00,2021-06-23T13:35:00-00:00,pldi.180,
pldi_talks1B,2021-06-23T13:00:00-00:00,2021-06-23T13:05:00-00:00,pldi.43,
pldi_talks1B,2021-06-23T13:05:00-00:00,2021-06-23T13:10:00-00:00,pldi.92,
pldi_talks1B,2021-06-23T13:10:00-00:00,2021-06-23T13:15:00-00:00,pldi.155,
pldi_talks1B,2021-06-23T13:15:00-00:00,2021-06-23T13:20:00-00:00,pldi.145,
pldi_talks1B,2021-06-23T13:20:00-00:00,2021-06-23T13:25:00-00:00,pldi.249,
pldi_talks1B,2021-06-23T13:25:00-00:00,2021-06-23T13:30:00-00:00,pldi.244,
pldi_talks1B,2021-06-23T13:30:00-00:00,2021-06-23T13:35:00-00:00,pldi.773,
pldi_posters1,,,pldi.255,12
pldi_posters1,,,pldi.369,25
pldi_posters1,,,pldi.311,27
pldi_posters1,,,pldi.601,19
pldi_posters1,,,pldi.885,10
pldi_posters1,,,pldi.465,2
pldi_posters1,,,pldi.180,4
pldi_posters1,,,pldi.43,1
pldi_posters1,,,pldi.92,9
pldi_posters1,,,pldi.155,28
pldi_posters1,,,pldi.145,3
pldi_posters1,,,pldi.249,20
pldi_posters1,,,pldi.244,26
pldi_posters1,,,pldi.773,17
pldi_talks2A,2021-06-23T17:30:00-00:00,2021-06-23T17:35:00-00:00,pldi.112,
pldi_talks2A,2021-06-23T17:35:00-00:00,2021-06-23T17:40:00-00:00,pldi.156,
pldi_talks2A,2021-06-23T17:40:00-00:00,2021-06-23T17:45:00-00:00,pldi.121,
pldi_talks2A,2021-06-23T17:45:00-00:00,2021-06-23T17:50:00-00:00,pldi.605,
pldi_talks2A,2021-06-23T17:50:00-00:00,2021-06-23T17:55:00-00:00,pldi.375,
pldi_talks2A,2021-06-23T17:55:00-00:00,2021-06-23T18:00:00-00:00,pldi.522,
pldi_talks2A,2021-06-23T18:00:00-00:00,2021-06-23T18:05:00-00:00,pldi.760,
pldi_talks2B,2021-06-23T17:30:00-00:00,2021-06-23T17:35:00-00:00,pldi.72,
