event,UID,authors,emails,title,keywords,abstract,DOI
pldi,pldi.12,Tamás Szabó|Sebastian Erdweg|Gábor Bergmann,,Incremental Whole-Program Analysis in Datalog with Lattices,Static Analysis|Incremental Computing|Datalog,"Incremental static analyses provide up-to-date analysis results in time proportional to the size of a code change, not the entire code base. This promises fast feedback to programmers in IDEs and when checking in commits. However, existing incremental analysis frameworks fail to deliver on this promise for whole-program lattice-based data-flow analyses. In particular, prior Datalog-based frameworks yield good incremental performance only for intra-procedural analyses.  In this paper, we first present a methodology to empirically test if a computation is amenable to incrementalization. Using this methodology, we find that incremental whole-program analysis may be possible. Second, we present a new incremental Datalog solver called LADDDER to eliminate the shortcomings of prior Datalog-based analysis frameworks. Our Datalog solver uses a non-standard aggregation semantics which allows us to loosen monotonicity requirements on analyses and to improve the performance of lattice aggregators considerably. Our evaluation on real-world Java code confirms that LADDDER provides up-to-date points-to, constant propagation, and interval information in milliseconds.",10.1145/3453483.3454026
pldi,pldi.21,Kyeongmin Cho|Sung-Hwan Lee|Azalea Raad|Jeehoon Kang,,Revamping Hardware Persistency Models: View-Based and Axiomatic Persistency Models for Intel-x86 and Armv8,persistent memory|non-volatile random-access memory|NVRAM|persistency semantics|x86|Armv8,"Non-volatile memory (NVM) is a cutting-edge storage technology that promises the performance of DRAM with the durability of SSD. Recent work has proposed several emph{persistency models} for mainstream architectures such as Intel-x86 and Armv8, describing the order in which writes are propagated to NVM. However, these models have several limitations; most notably, they either lack operational models or do not support persistent synchronization patterns.  We close this gap by revamping the existing persistency models. First, inspired by the recent work on promising semantics, we propose a emph{unified operational style} for describing persistency using emph{views}, and develop view-based operational persistency models for Intel-x86 and Armv8, thus presenting the emph{first} operational model for Armv8 persistency. Next, we propose a emph{unified axiomatic style} for describing hardware persistency, allowing us to recast and repair the existing axiomatic models of Intel-x86 and Armv8 persistency. We prove that our axiomatic models are equivalent to the authoritative semantics reviewed by Intel and Arm engineers. We further prove that each axiomatic hardware persistency model is equivalent to its operational counterpart. Finally, we develop a persistent model checking algorithm and tool, and use it to verify several representative examples.",10.1145/3453483.3454027
pldi,pldi.25,Kia Rahmani|Kartik Nagar|Benjamin Delaware|Suresh Jagannathan,,Repairing Serializability Bugs in Distributed Database Programs via Automated Schema Refactoring,Schema Refactoring|Weak Consistency|Program Repair,"Serializability is a well-understood concurrency control mechanism that eases reasoning about highly-concurrent database programs. Unfortunately, enforcing serializability has a high performance cost, especially on geographically distributed database clusters. Consequently, many databases allow programmers to choose when a transaction must be executed under serializability, with the expectation that transactions would only be so marked when necessary to avoid serious concurrency bugs. However, this is a significant burden to impose on developers, requiring them to (a) reason about subtle concurrent interactions among potentially interfering transactions, (b) determine when such interactions would violate desired invariants, and (c) then identify the minimum number of transactions whose executions should be serialized to prevent these violations. To mitigate this burden, this paper presents a sound fully-automated schema refactoring procedure that refactors a program’s data layout – rather than its concurrency control logic – to eliminate statically identified concurrency bugs, allowing more transactions to be safely executed under weaker and more performant database guarantees. Experimental results over a range of realistic database benchmarks indicate that our approach is highly effective in eliminating concurrency bugs, with safe refactored programs showing an average of 120% higher throughput and 45% lower latency compared to a serialized baseline.",10.1145/3453483.3454028
pldi,pldi.27,Runzhou Tao|Yunong Shi|Jianan Yao|John Hui|Frederic T. Chong|Ronghui Gu,,Gleipnir: Toward Practical Error Analysis for Quantum Programs,quantum programming|error analysis|approximate computing,"Practical error analysis is essential for the design, optimization, and evaluation of Noisy Intermediate-Scale Quantum(NISQ) computing. However, bounding errors in quantum programs is a grand challenge, because the effects of quantum errors depend on exponentially large quantum states. In this work, we present Gleipnir, a novel methodology toward practically computing verified error bounds in quantum programs. Gleipnir introduces the $(hatrho,delta)$-diamond norm, an error metric constrained by a quantum predicate consisting of the approximate state $hatrho$ and its distance $delta$ to the ideal state $rho$. This predicate $(hatrho,delta)$ can be computed adaptively using tensor networks based on the Matrix Product States. Gleipnir features a lightweight logic for reasoning about error bounds in noisy quantum programs, based on the $(hatrho,delta)$-diamond norm metric. Our experimental results show that Gleipnir is able to efficiently generate tight error bounds for real-world quantum programs with 10 to 100 qubits, and can be used to evaluate the error mitigation performance of quantum compiler transformations.",10.1145/3453483.3454029
pldi,pldi.30,Nuno P. Lopes|Juneyoung Lee|Chung-Kil Hur|Zhengyang Liu|John Regehr,,Alive2: Bounded Translation Validation for LLVM,Translation Validation|Compilers|IR Semantics|Automatic Software Verification,"We designed, implemented, and deployed Alive2: a emph{bounded} translation validation tool for the LLVM compiler&#39;s intermediate representation (IR). It limits resource consumption by, for example, unrolling loops up to some bound, which means there are circumstances in which it misses bugs. Alive2 is designed to avoid false alarms, is fully automatic through the use of an SMT solver, and requires no changes to LLVM. By running Alive2 over LLVM&#39;s unit test suite, we discovered and reported 47 new bugs, 28 of which have been fixed already. Moreover, our work has led to eight patches to the LLVM Language Reference---the definitive description of the semantics of its IR---and we have participated in numerous discussions with the goal of clarifying ambiguities and fixing errors in these semantics. Alive2 is open source and we also made it available on the web, where it has active users from the LLVM community.",10.1145/3453483.3454030
pldi,pldi.34,Simon Spies|Lennard Gäher|Daniel Gratzer|Joseph Tassarotti|Robbert Krebbers|Derek Dreyer|Lars Birkedal,,Transfinite Iris: Resolving an Existential Dilemma of Step-Indexed Separation Logic,Separation logic|Iris|liveness properties|step-indexing|transfinite|ordinals,"Step-indexed separation logic has proven to be a powerful tool for modular reasoning about higher-order stateful programs. However, it has only been used to reason about safety properties, never liveness properties. In this paper, we observe that the inability of step-indexed separation logic to support liveness properties stems fundamentally from its failure to validate the emph{existential property}, connecting the meaning of existential quantification inside and outside the logic. We show how to validate the existential property---and thus enable liveness reasoning---by moving from finite step-indices (natural numbers) to emph{transfinite} step-indices (ordinals). Concretely, we transform the Coq-based step-indexed logic Iris to textbf{Transfinite Iris}, and demonstrate its effectiveness in proving termination and termination-preserving refinement for higher-order stateful programs.",10.1145/3453483.3454031
pldi,pldi.40,Alex Reinking|Ningning Xie|Leonardo de Moura|Daan Leijen,,Perceus: Garbage Free Reference Counting with Reuse,Reference Counting|Algebraic Effects|Handlers,"We introduce Perceus, an algorithm for precise reference counting with reuse and specialization. Starting from a functional core language with explicit control-flow, Perceus emits precise reference counting instructions such that (cycle-free) programs are _garbage free_, where only live references are retained. This enables further optimizations, like reuse analysis that allows for guaranteed in-place updates at runtime. This in turn enables a novel programming paradigm that we call _functional but in-place_ (FBIP). Much like tail-call optimization enables writing loops with regular function calls, reuse analysis enables writing in-place mutating algorithms in a purely functional way. We give a novel formalization of reference counting in a linear resource calculus, and prove that Perceus is sound and garbage free. We show evidence that Perceus, as implemented in Koka, has good performance and is competitive with other state-of-the-art memory collectors.",10.1145/3453483.3454032
pldi,pldi.43,Talia Ringer|RanDair Porter|Nathaniel Yazdani|John Leo|Dan Grossman,,Proof Repair across Type Equivalences,proof engineering|proof repair|proof reuse,"We describe a new approach to automatically repairing broken proofs in the Coq proof assistant in response to changes in types. Our approach combines a configurable proof term transformation with a decompiler from proof terms to suggested tactic scripts. The proof term transformation implements transport across equivalences in a way that removes references to the old version of the changed type and does not rely on axioms beyond those Coq assumes.  We have implemented this approach in textsc{Pumpkin P}i, an extension to the textsc{Pumpkin Patch} Coq plugin suite for proof repair. We demonstrate textsc{Pumpkin P}i&#39;s flexibility on eight case studies, including supporting a benchmark from a user study,easing development with dependent types, porting functions and proofs between unary and binary numbers, and supporting an industrial proof engineer to interoperate between Coq and other verification tools more easily.",10.1145/3453483.3454033
pldi,pldi.44,Rodrigo Bruno|Vojin Jovanovic|Christian Wimmer|Gustavo Alonso,,Compiler-Assisted Object Inlining with Value Fields,Object Inlining|GraalVM|Native Image,"Object Oriented Programming has flourished in many areas ranging from web-oriented microservices, data processing, to databases. However, while representing domain entities as objects is appealing to developers, it leads to data fragmentation, resulting in high memory footprint and poor locality.            To improve memory footprint and memory locality, embedding the payload of an object into another (object inlining) has been proposed, however, with severe limitations. We argue that object inlining is mostly useful to optimize objects in the application data-path and that such objects have value semantics, unlocking great potential for inlining objects.            We propose value fields, an abstraction which allows fields to be marked as having value semantics. We take advantage of the closed-world assumption provided by GraalVM Native Image to implement Object inlining. Results show that using value fields requires minimal to no effort from developers and leads to improvements in throughput of up to 3x, memory footprint of up to 40%, and GC pause times of up to 35%.",10.1145/3453483.3454034
pldi,pldi.45,Xiaolei Ren|Michael Ho|Jiang Ming|Jeff Yu Lei|Li Li,,Unleashing the Hidden Power of Compiler Optimization on Binary Code Difference: An Empirical Study,Compiler Optimization|Binary Code Difference,"Hunting binary code difference without source code (i.e., binary diffing) has compelling applications in software security. Due to the high variability of binary code, existing solutions have been driven towards measuring semantic similarities from syntactically different code. Since compiler optimization is the most common source contributing to binary code differences in syntax, testing the resilience against the changes caused by different compiler optimization settings has become a standard evaluation step for most binary diffing approaches. For example, 47 top-venue papers in the last 12 years compared different program versions compiled by default optimization levels (e.g., -Ox in GCC and LLVM). Although many of them claim they are immune to compiler transformations, it is yet unclear about their resistance to non-default optimization settings. Especially, we have observed that adversaries explored non-default compiler settings to amplify malware differences.  This paper takes the first step to systematically studying the effectiveness of compiler optimization on binary code differences. We tailor search-based iterative compilation for the auto-tuning of binary code differences. We develop BinTuner to search near-optimal optimization sequences that can maximize the amount of binary code differences. We run BinTuner with GCC 10.2 and LLVM 11.0 on SPEC benchmarks (CPU2006 &#38; CPU2017), Coreutils, and OpenSSL. Our experiments show that at the cost of 279 to 1,881 compilation iterations, BinTuner can find custom optimization sequences that are substantially better than the general -Ox settings. BinTuner&#39;s outputs seriously undermine prominent binary diffing tools&#39; comparisons. In addition, the detection rate of the IoT malware variants tuned by BinTuner falls by more than 50%. Our findings paint a cautionary tale for security analysts that attackers have a new way to mutate malware code cost-effectively, and the research community needs to step back to reassess optimization-resistance evaluations.",10.1145/3453483.3454035
