ID,Name,Email,Title,Status,Presentation lD
9975,Guy Steele,,Hopl opening,incoming,
9976,,,PLMW@PLDI: Programming Language Mentoring Workshop Day 2,to_check,38962642
9977,Stephen Freund,,Live business meeting,to_check,38962620
9978,Guy Steele,,Opening HOPL,to_check,38962614
9979,"Joxan Jaffar, Andreea Costea",,"AMA Joxan Jaffar (NUS), Andreea Costea",to_check,38962613
9980,"Sukyoyng Ryu, Hongseok Yang",,"AMA Sukyoyng Ryu (KAIST), Hongseok Yang",to_check,38962612
9981,"Rustan Leino, Ranjit Jhala",,"AMA Rustan Leino, Ranjit Jhala",to_check,38962611
9982,"Phillippa Gardner, Ranjit Jhala",,"AMA Phillippa Gardner, Ranjit Jhala",to_check,38962610
9983,"Madan Musuvathi, John Wickerson",,"AMA Madan Musuvathi, John Wickerson",to_check,38962609
9985,"Sriram Rajamani, Aditya Kanade",,"AMA Sriram Rajamani (MSR India), Aditya Kanade",to_check,38962608
9986,"James Noble, Alex Potanin",,"AMA James Noble (VUW), Alex Potanin",to_check,38962607
9987,"June Andronick, Gerwin Klein",,"AMA June Andronick (Data61), Gerwin Klein",to_check,38962606
9988,"Cristina Cifuentes, Steve Blackburn",,"AMA Cristina Cifuentes (Oracle), Steve Blackburn",to_check,38962605
9989,"Michael Carbin, Roopsha Sharma",,"AMA Michael Carbin, Roopsha Sharma",to_check,38962604
9990,"Emery Berger, Sam Guyer",,"AMA Emery Berger, Sam Guyer",to_check,38962603
9991,"Kim Hazelwood, Kathleen Fisher",,"AMA Kim Hazelwood, Kathleen Fisher",to_check,38962602
9992,,,SOAP: State of the Art in Program Analysis,editing,38962601
9993,,,PLanQC: Programming Languages for Quantum Computing,to_check,38962600
9994,,,"LCTES: Languages, Compilers, Tools and Theory of Embedded Systems",to_check,38962599
9995,,,ISMM: International Symposium on Memory Management,to_check,38962598
9996,,,MAPS: Symposium on Machine Programming,to_check,38962597
9997,,,ARRAY 2021,to_check,38962596
9998,,,PLMW@PLDI: Programming Language Mentoring Workshop Day 1,editing,38962595
9999,,,Infer Practitioners Workshop,to_check,38962594
array.0,Keynote Speaker,,Keynote talk,finished,38956837
array.1,"Jizhe Chenxin, Hidehiko Masuhara",,Nested Object Support in a Structure-of-Arrays Dynamic Objector Allocator (Extended Abstract),finished,38956838
array.2,"Benjamin Chetioui, Ole Abusdal, Magne Haveraaen, Jaakko JÃ¤rvi, Lenore Mullin",,Padding in the Mathematics of Arrays,finished,38956839
array.3,"Artjoms Sinkarovs, Hans-Nikolai Vießmann, Sven-Bodo Scholz",,Array Languages Make Neural Networks Fast,finished,38956840
