event,start,end,title,authors,category,trackUID,gather,zoom,info_link
hopl,2021-06-20T13:00:00+00:00,2021-06-20T13:15:00+00:00,"Welcome to HOPL IV Conference",Richard P. Gabriel|Guy L. Steele Jr.,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/22/Welcome-to-HOPL-IV-Conference
hopl,2021-06-20T13:15:00+00:00,2021-06-20T14:15:00+00:00,"Myths and Mythconceptions: What does it mean to be a programming language, anyhow?",Mary Shaw,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/20/Myths-and-Mythconceptions-What-does-it-mean-to-be-a-programming-language-anyhow-
hopl,2021-06-20T14:45:00+00:00,2021-06-20T15:45:00+00:00,"History of Coarrays and SPMD Parallelism in Fortran",John Reid|Bill Long|Jon Steidel,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/19/History-of-Coarrays-and-SPMD-Parallelism-in-Fortran
hopl,2021-06-20T17:30:00+00:00,2021-06-20T18:45:00+00:00,"A History of MATLAB",Jack Little|Cleve Moler,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/3/A-History-of-MATLAB
hopl,2021-06-20T19:15:00+00:00,2021-06-20T20:15:00+00:00,"S, R and Data Science.",John Chambers,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/5/S-R-and-Data-Science-
hopl,2021-06-20T20:45:00+00:00,2021-06-20T21:45:00+00:00,"LabVIEW",Jeffrey Kodosky,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/2/LabVIEW
hopl,2021-06-20T22:15:00+00:00,2021-06-20T23:15:00+00:00,"The Origins of Objective-C at PPI/Stepstone and its Evolution at NeXT",Brad Cox|Steve Naroff|Hansen Hsu,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/18/The-Origins-of-Objective-C-at-PPI-Stepstone-and-its-Evolution-at-NeXT
hopl,2021-06-20T23:45:00+00:00,2021-06-21T01:00:00+00:00,"JavaScript: The First 20 Years",Allen Wirfs-Brock|Brendan Eich,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/10/JavaScript-The-First-20-Years
hopl,2021-06-21T13:00:00+00:00,2021-06-21T14:15:00+00:00,"History of Logo",Cynthia Solomon|Brian Harvey|Ken Kahn|Henry Lieberman|Mark Miller|Margaret Minsky|Artemis Papert|Brian Silverman,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/7/History-of-Logo
hopl,2021-06-21T14:45:00+00:00,2021-06-21T15:45:00+00:00,"A history of the Oz multiparadigm language",Peter Van Roy|Seif Haridi|Christian Schulte|Gert Smolka,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/12/A-history-of-the-Oz-multiparadigm-language
hopl,2021-06-21T17:30:00+00:00,2021-06-21T18:45:00+00:00,"Thriving in a crowded and changing world: C++ 2006-2020",Bjarne Stroustrup,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/4/Thriving-in-a-crowded-and-changing-world-C-2006-2020
hopl,2021-06-21T19:15:00+00:00,2021-06-21T20:15:00+00:00,"Origins of the D Programming Language",Walter Bright|Andrei Alexandrescu|Michael Parker,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/17/Origins-of-the-D-Programming-Language
hopl,2021-06-21T20:45:00+00:00,2021-06-21T21:45:00+00:00,"A History of Clojure",Rich Hickey,colocated,hopl,,,https://pldi21.sigplan.org/details/hopl-4-papers/9/A-History-of-Clojure
