event,start,end,title,authors,category,trackUID,gather,zoom,info_link
ismm,2021-06-22T13:00:00+00:00,2021-06-22T13:15:00+00:00,"Welcome from the Chairs and Conference Report",Tobias Wrigstad|Zhenlin Wang,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/14/Welcome-from-the-Chairs-and-Conference-Report
ismm,2021-06-22T13:15:00+00:00,2021-06-22T14:15:00+00:00,"Reflections on Forty Years in Garbage Collection",Eliot Moss,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/9/Reflections-on-Forty-Years-in-Garbage-Collection
ismm,2021-06-22T14:15:00+00:00,2021-06-22T15:15:00+00:00,"Break/Social Hour",,break,ismm,,,
ismm,2021-06-22T15:15:00+00:00,2021-06-22T15:45:00+00:00,"Uniform Lease vs LRU Cache: Analysis and Evaluation",Dong Chen|Chen Ding|Fangzhou Liu|Benjamin Reber|Wesley Smith|Pengcheng Li,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/8/Uniform-Lease-vs-LRU-Cache-Analysis-and-Evaluation
ismm,2021-06-22T17:30:00+00:00,2021-06-22T18:00:00+00:00,"Radiant: Efficient Page Table Management for Tiered Memory Systems",Sandeep Kumar|Aravinda Prasad|Smruti Ranjan Sarangi|Sreenivas Subramoney,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/7/Radiant-Efficient-Page-Table-Management-for-Tiered-Memory-Systems
ismm,2021-06-22T18:00:00+00:00,2021-06-22T18:30:00+00:00,"Compendia: Reducing Virtual-Memory Costs via Selective Densification",Sam Ainsworth|Timothy M. Jones,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/2/Compendia-Reducing-Virtual-Memory-Costs-via-Selective-Densification
ismm,2021-06-22T18:30:00+00:00,2021-06-22T19:15:00+00:00,"ISMM Business Meeting",Tobias Wrigstad,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/10/ISMM-Business-Meeting
ismm,2021-06-22T19:15:00+00:00,2021-06-22T19:45:00+00:00,"Adaptive Huge-Page Subrelease for Non-Moving Memory Allocators in Warehouse-Scale Computers",Martin Maas|Chris Kennelly|Khanh Nguyen|Darryl Gove|Kathryn S McKinley|Paul Turner,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/5/Adaptive-Huge-Page-Subrelease-for-Non-Moving-Memory-Allocators-in-Warehouse-Scale-Com
ismm,2021-06-22T19:45:00+00:00,2021-06-22T20:15:00+00:00,"automemcpy A framework for automatic generation of fundamental memory operations",Guillaume Chatelet|Chris Kennelly|Sam Xi|Ondrej Sykora|Clement Courbet|David Li|Bruno De Backer,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/4/automemcpy-A-framework-for-automatic-generation-of-fundamental-memory-operations
ismm,2021-06-22T22:00:00+00:00,2021-06-22T22:30:00+00:00,"Exploiting Intel Optane Persistent Memory for Full Text Search",Shoaib Akram,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/6/Exploiting-Intel-Optane-Persistent-Memory-for-Full-Text-Search
ismm,2021-06-22T22:30:00+00:00,2021-06-22T23:00:00+00:00,"Understanding and Utilizing Hardware Transactional Memory Capacity",Zixian Cai|Steve Blackburn|Michael D. Bond,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/1/Understanding-and-Utilizing-Hardware-Transactional-Memory-Capacity
ismm,2021-06-22T23:00:00+00:00,2021-06-22T23:30:00+00:00,"Fusuma: Double-ended Threaded Compaction",Hiro Onozawa|Tomoharu Ugawa|Hideya Iwasaki,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/3/Fusuma-Double-ended-Threaded-Compaction
ismm,2021-06-22T23:30:00+00:00,2021-06-22T23:45:00+00:00,"Closing Remarks",Tobias Wrigstad|Zhenlin Wang,colocated,ismm,,,https://pldi21.sigplan.org/details/ismm-2021/15/Closing-Remarks
