event,start,end,title,authors,category,trackUID,gather,zoom,info_link
lctes,2021-06-22T13:00:00+00:00,2021-06-22T13:10:00+00:00,"Welcome from the Chairs",Xu Liu,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/20/Welcome-from-the-Chairs
lctes,2021-06-22T13:10:00+00:00,2021-06-22T14:25:00+00:00,"On the Challenges of Predictability, Resilience, and Machine Learning for Autonomous Driving",Frank Mueller,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/1/On-the-Challenges-of-Predictability-Resilience-and-Machine-Learning-for-Autonomous-
lctes,2021-06-22T14:25:00+00:00,2021-06-22T14:45:00+00:00,"Break",,break,lctes,,,
lctes,2021-06-22T14:45:00+00:00,2021-06-22T15:10:00+00:00,"MaPHeA: A Lightweight Memory Hierarchy-aware Profile-guided Heap Allocation Framework ",Deok-Jae Oh|Yaebin Moon|Eojin Lee|Tae Jun Ham|Yongjun Park|Jae W. Lee|Jung Ho Ahn,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/2/MaPHeA-A-Lightweight-Memory-Hierarchy-aware-Profile-guided-Heap-Allocation-Framework
lctes,2021-06-22T15:10:00+00:00,2021-06-22T15:35:00+00:00,"Break Dancing: Low Overhead, Architecture Neutral Software Branch Tracing",Gabriel Marin|Alexey Alexandrov|Tipp Moseley,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/3/Break-Dancing-Low-Overhead-Architecture-Neutral-Software-Branch-Tracing
lctes,2021-06-22T15:35:00+00:00,2021-06-22T15:45:00+00:00,"WIP: WasmAndroid: A Cross-platform Runtime for Native Programming Languages on Android ",Elliott Wen|Gerald Weber,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/4/WIP-WasmAndroid-A-Cross-platform-Runtime-for-Native-Programming-Languages-on-Androi
lctes,2021-06-22T17:30:00+00:00,2021-06-22T17:55:00+00:00,"HyFM: Function Merging for Free",Rodrigo C. O. Rocha|Pavlos Petoumenos|Zheng Wang|Murray Cole|Hugh Leather|Kim Hazelwood,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/5/HyFM-Function-Merging-for-Free
lctes,2021-06-22T17:55:00+00:00,2021-06-22T18:20:00+00:00,"Optimus: Towards Optimal Layer-Fusion on DeepLearning Processors",Xuyi Cai|Ying Wang|Lei Zhang,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/6/Optimus-Towards-Optimal-Layer-Fusion-on-DeepLearning-Processors
lctes,2021-06-22T18:20:00+00:00,2021-06-22T18:45:00+00:00,"Robust I/O-compute Concurrency for Machine Learning Pipelines in Constrained Cyber-physical Devices",Jayaraj Poroor|Akash Lal|Sandesh Ghanta,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/7/Robust-I-O-compute-Concurrency-for-Machine-Learning-Pipelines-in-Constrained-Cyber-ph
lctes,2021-06-22T18:45:00+00:00,2021-06-22T19:15:00+00:00,"Break",,break,lctes,,,
lctes,2021-06-22T19:15:00+00:00,2021-06-22T19:40:00+00:00,"Annotate Once - Analyze Anywhere: Context-Aware WCET Analysis by User-Defined Abstractions",Simon Schuster|Peter Wägemann|Peter Ulbrich|Wolfgang Schröder-Preikschat,colocated,lctes,,,https://pldi21.sigplan.org/details/LCTES-2021-papers/8/Annotate-Once-Analyze-Anywhere-Context-Aware-WCET-Analysis-by-User-Defined-Abstrac
