event,start,end,title,authors,category,trackUID,gather,zoom,info_link
maps,2021-06-21T14:45:00+00:00,2021-06-21T15:00:00+00:00,"Opening Remarks",Isil Dillig|Roopsha Samanta,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/10/Opening-Remarks
maps,2021-06-21T15:00:00+00:00,2021-06-21T16:00:00+00:00,"Automated Test Generation: A Journey from Symbolic Execution to Smart Fuzzing and Beyond",Koushik Sen,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/9/Automated-Test-Generation-A-Journey-from-Symbolic-Execution-to-Smart-Fuzzing-and-Bey
maps,2021-06-21T17:30:00+00:00,2021-06-21T18:00:00+00:00,"Generating Bug-Fixes Using Pretrained Transformers",Dawn Drain|Chen Wu|Alexey Svyatkovskiy|Neel Sundaresan,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/1/Generating-Bug-Fixes-Using-Pretrained-Transformers
maps,2021-06-21T18:00:00+00:00,2021-06-21T18:30:00+00:00,"Learning to Make Compiler Optimizations More Effective",Rahim Mammadli|Marija Selakovic|Felix Wolf|Michael Pradel,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/2/Learning-to-Make-Compiler-Optimizations-More-Effective
maps,2021-06-21T19:15:00+00:00,2021-06-21T20:15:00+00:00,"Engineering Uncertain Computations",Michael Carbin,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/6/Engineering-Uncertain-Computations
maps,2021-06-21T20:45:00+00:00,2021-06-21T21:45:00+00:00,"Machine Learning for Autotuning Production Machine Learning Compilers",Phitchaya Mangpo Phothilimthana,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/8/Machine-Learning-for-Autotuning-Production-Machine-Learning-Compilers
maps,2021-06-21T21:45:00+00:00,2021-06-21T22:15:00+00:00,"Pure, Low-Level Tensor Program Rewriting via Access Patterns (Representation Pearl)",Gus Henry Smith|Andrew Liu|Steven Lyubomirsky|Scott Davidson|Joseph McMahan|Michael Bedford Taylor|Luis Ceze|Zachary Tatlock,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/3/Pure-Low-Level-Tensor-Program-Rewriting-via-Access-Patterns-Representation-Pearl-
maps,2021-06-21T22:15:00+00:00,2021-06-21T22:45:00+00:00,"ControlFlag: A Self-supervised Idiosyncratic PatternDetection System for Software Control Structures",Niranjan Hasabnis|Justin Gottschlich,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/4/ControlFlag-A-Self-supervised-Idiosyncratic-PatternDetection-System-for-Software-Con
maps,2021-06-21T22:45:00+00:00,2021-06-21T23:15:00+00:00,"Predictive Data Locality Optimization for Higher-Order Tensor Computations",Tharindu Patabandi|Anand Venkat|Abhishek Kulkarni|Pushkar Ratnalikar|Mary Hall|Justin Gottschlich,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/5/Predictive-Data-Locality-Optimization-for-Higher-Order-Tensor-Computations
maps,2021-06-21T23:45:00+00:00,2021-06-22T00:45:00+00:00,"Interactively Exploring Code Using Query-by-Example",Mukund Raghotaman,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/7/Interactively-Exploring-Code-Using-Query-by-Example
maps,2021-06-22T00:45:00+00:00,2021-06-22T01:00:00+00:00,"Closing remarks",Justin Gottschlich,colocated,maps,,,https://pldi21.sigplan.org/details/maps-2021-papers/11/Closing-remarks
