event,start,end,title,authors,category,trackUID,gather,zoom,info_link
planqc,2021-06-22T13:00:00+00:00,2021-06-22T13:35:00+00:00,"Invited Talk: From Verified Compilation to Shor’s Algorithm",Michael Hicks,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/13/Invited-Talk-From-Verified-Compilation-to-Shor-s-Algorithm
planqc,2021-06-22T13:35:00+00:00,2021-06-22T13:55:00+00:00,"qKleene: Verification of Quantum RAM Made Easy",Giulia De Santis|Roberto Giacobazzi|Margherita Zorzi,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/12/qKleene-Verification-of-Quantum-RAM-Made-Easy
planqc,2021-06-22T13:55:00+00:00,2021-06-22T14:15:00+00:00,"JKQ: JKU Tools for Quantum Computing",Wille Robert|Stefan Hillmich|Lukas Burgholzer,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/8/JKQ-JKU-Tools-for-Quantum-Computing
planqc,2021-06-22T14:15:00+00:00,2021-06-22T14:45:00+00:00,"Break",,break,planqc,,,
planqc,2021-06-22T14:45:00+00:00,2021-06-22T15:05:00+00:00,"Open Quantum Assembly Language",Andrew Cross|Ali Javadi-Abhari|Thomas Alexander|Lev Bishop|Colm A. Ryan|Steven Heidel|Niel de Beaudrap|John Smolin|Jay M. Gambetta|Blake R. Johnson,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/10/Open-Quantum-Assembly-Language
planqc,2021-06-22T15:05:00+00:00,2021-06-22T15:25:00+00:00,"Quantum and classical registers",Dominique Unruh,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/6/Quantum-and-classical-registers
planqc,2021-06-22T15:25:00+00:00,2021-06-22T15:45:00+00:00,"Addressable quantum gates",Pablo Arrighi|Marin Costes|Christopher Cedzich|Ulysse Remond|Benoit Valiron,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/2/Addressable-quantum-gates
planqc,2021-06-22T17:30:00+00:00,2021-06-22T18:05:00+00:00,"Invited Talk: Quantum compilation using the ZX-calculus",John van de Wetering,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/15/Invited-Talk-Quantum-compilation-using-the-ZX-calculus
planqc,2021-06-22T18:05:00+00:00,2021-06-22T18:25:00+00:00,"Quantum routing with fast reversals",Aniruddha Bapat|Andrew M. Childs|Alexey V. Gorshkov|Sam King|Eddie Schoute|Hrishee Shastri,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/3/Quantum-routing-with-fast-reversals
planqc,2021-06-22T18:25:00+00:00,2021-06-22T18:45:00+00:00,"Reducing the CNOT count for Clifford+T circuits on NISQ architectures",Vlad Gheorghiu|Sarah Li|Michele Mosca|Priyanka Mukhopadhyay,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/7/Reducing-the-CNOT-count-for-Clifford-T-circuits-on-NISQ-architectures
planqc,2021-06-22T18:45:00+00:00,2021-06-22T19:15:00+00:00,"Break",,break,planqc,,,
planqc,2021-06-22T19:15:00+00:00,2021-06-22T19:35:00+00:00,"Toward A Quantum Programming Language for Higher-Level Formal Verification",Finn Voichick|Michael Hicks,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/5/Toward-A-Quantum-Programming-Language-for-Higher-Level-Formal-Verification
planqc,2021-06-22T19:35:00+00:00,2021-06-22T19:55:00+00:00,"Toward a Type-Theoretic Interpretation of Q# and Statically Enforcing the No-Cloning Theorem",Kartik Singhal|Sarah Marshall|Kesha Hietala|Robert Rand,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/11/Toward-a-Type-Theoretic-Interpretation-of-Q-and-Statically-Enforcing-the-No-Cloning-
planqc,2021-06-22T19:55:00+00:00,2021-06-22T20:15:00+00:00,"Extending Gottesman Types Beyond the Clifford Group",Robert Rand|Aarthi Sundaram|Kartik Singhal|Brad Lackey,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/9/Extending-Gottesman-Types-Beyond-the-Clifford-Group
planqc,2021-06-22T22:00:00+00:00,2021-06-22T22:35:00+00:00,"Invited Talk: Theory, Design, and Implementation of Projection-based Assertions for Quantum Debugging and Testing",Yufei Ding,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/14/Invited-Talk-Theory-Design-and-Implementation-of-Projection-based-Assertions-for-Q
planqc,2021-06-22T22:35:00+00:00,2021-06-22T22:55:00+00:00,"Mitiq: a Python toolkit for quantum error mitigation",Ryan LaRose|Andrea Mari|Sarah Kaiser|Peter J. Karalekas|Nathan Shammah|William J. Zeng,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/1/Mitiq-a-Python-toolkit-for-quantum-error-mitigation
planqc,2021-06-22T22:55:00+00:00,2021-06-22T23:15:00+00:00,"Expanding the VOQC Toolkit",Kesha Hietala|Liyi Li|Akshaj Gaur|Aaron Green|Robert Rand|Xiaodi Wu|Michael Hicks,colocated,planqc,,,https://pldi21.sigplan.org/details/planqc-2021-papers/4/Expanding-the-VOQC-Toolkit
