UID,title,start,end,trackUID,gather,zoom,info_link,category
# Tues,,,,,,,,
pldi_src_posters,SRC Poster Session,2021-06-22T10:00:00-04:00,2021-06-22T12:00:00-04:00,,Gather,,/socials.html#src,poster
# Wed,,,,,,,,
pldi_talks1A,Talks 1A: Concurrent and Distributed Programming,2021-06-23T13:00:00+00:00,2021-06-23T13:35:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+1A,paper-session
pldi_talks1B,Talks 1B: Verification,2021-06-23T13:00:00+00:00,2021-06-23T13:35:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+1B,paper-session
pldi_posters1,Poster Session 1,2021-06-23T13:35:00+00:00,2021-06-23T14:30:00+00:00,,Gather,,/papers.html?session=Posters+1,poster
pldi_ama_1,"AMA: Kim Hazelwood (Facebook AI Research), Emery Berger (University of Massachusetts Amherst), Michael Carbin (MIT) -- live Q&A",2021-06-23T14:30:00+00:00,2021-06-23T15:30:00+00:00,pldi-A,,,/plenary.html#tab-amas,plenary
pldi_ind_rec,Industrial Reception,2021-06-23T16:30:00+00:00,2021-06-23T17:30:00+00:00,,Gather Sponsor Hall,,/sponsors.html,sponsor
pldi_talks2A,Talks 2A: Machine Learning,2021-06-23T17:30:00+00:00,2021-06-23T18:05:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+2A,paper-session
pldi_talks2B,Talks 2B: Language Design and Programming Models,2021-06-23T17:30:00+00:00,2021-06-23T18:05:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+2B,paper-session
pldi_posters2,Poster Session 2,2021-06-23T18:05:00+00:00,2021-06-23T19:00:00+00:00,,Gather,,/papers.html?session=Posters+2,poster
# Wed Mirror,,,,,,,,
pldi_talks1A_mirror,Talks 1A: Concurrent and Distributed Programming,2021-06-24T01:00:00+00:00,2021-06-24T01:35:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+1A,paper-session
pldi_talks1B_mirror,Talks 1B: Verification,2021-06-24T01:00:00+00:00,2021-06-24T01:35:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+1B,paper-session
pldi_posters1_mirror,Poster Session 1,2021-06-24T01:35:00+00:00,2021-06-24T02:30:00+00:00,,Gather,,/papers.html?session=Posters+1,poster
pldi_ama_1_mirror,"AMA: Cristina Cifuentes (Oracle Labs), June Andronick (Proofcraft, UNSW and seL4 Foundation)  -- live Q&A",2021-06-24T02:30:00+00:00,2021-06-24T03:30:00+00:00,pldi-A,,,/plenary.html#tab-amas,plenary
