event,start,end,title,authors,category,trackUID,gather,zoom,info_link
soap,2021-06-22T13:00:00+00:00,2021-06-22T13:15:00+00:00,"Welcome from the chairs",Caterina Urban|Lisa Nguyen Quang Do,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/14/Welcome-from-the-chairs
soap,2021-06-22T13:15:00+00:00,2021-06-22T14:15:00+00:00,"[Invited talk] Towards Security-Oriented Program analysis",Sébastien Bardin,colocated,soap,,Q&A in Zoom,https://pldi21.sigplan.org/details/SOAP-2021-papers/18/-Invited-talk-Towards-Security-Oriented-Program-analysis
soap,2021-06-22T14:15:00+00:00,2021-06-22T14:45:00+00:00,"Break",,break,soap,,,
soap,2021-06-22T14:45:00+00:00,2021-06-22T15:10:00+00:00,"Static Analysis for Dummies: Experiencing LiSA",Pietro Ferrara|Luca Negrini|Vincenzo Arceri|Agostino Cortesi,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/6/Static-Analysis-for-Dummies-Experiencing-LiSA
soap,2021-06-22T15:10:00+00:00,2021-06-22T15:35:00+00:00,"Security and Quality: Two Sides of The Same Coin?",Steven Arzt,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/4/Security-and-Quality-Two-Sides-of-The-Same-Coin-
soap,2021-06-22T17:30:00+00:00,2021-06-22T17:55:00+00:00,"Program analysis for reversible languages",Uwe Meyer|Niklas Deworetzki,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/2/Program-analysis-for-reversible-languages
soap,2021-06-22T17:55:00+00:00,2021-06-22T18:20:00+00:00,"PerfLens: A Data-Driven Performance Bug Detection and Fix Platform",Spandan Garg|Roshanak Zilouchian Moghaddam|Neel Sundaresan|Chen Wu,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/7/PerfLens-A-Data-Driven-Performance-Bug-Detection-and-Fix-Platform
soap,2021-06-22T18:20:00+00:00,2021-06-22T18:45:00+00:00,"Weldr: Fusing Binaries for Simplified Analysis",Alexander Heinricher|Ryan Williams|Ava Klingbeil|Alex Jordan,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/3/Weldr-Fusing-Binaries-for-Simplified-Analysis
soap,2021-06-22T18:45:00+00:00,2021-06-22T19:15:00+00:00,"Break",,break,soap,,,
soap,2021-06-22T19:15:00+00:00,2021-06-22T20:15:00+00:00,"[Invited talk] Dynamic abstract interpretation",Patrick Cousot,colocated,soap,,Q&A in Zoom,https://pldi21.sigplan.org/details/SOAP-2021-papers/17/-Invited-talk-Dynamic-abstract-interpretation
soap,2021-06-22T22:00:00+00:00,2021-06-22T22:25:00+00:00,"Multi-Language Static Code Analysis on the LARA Framework",Gil Teixeira|João Bispo|Filipe Figueiredo Correia,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/5/Multi-Language-Static-Code-Analysis-on-the-LARA-Framework
soap,2021-06-22T22:25:00+00:00,2021-06-22T22:50:00+00:00,"Serialization-Aware Call Graph Construction",Joanna C. S. Santos|Reese Jones|Chinomso Ashiogwu|Mehdi Mirakhorli,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/8/Serialization-Aware-Call-Graph-Construction
soap,2021-06-22T22:50:00+00:00,2021-06-22T23:15:00+00:00,"Scalable String Analysis: An Experience Report",Kostyantyn Vorobyov|Yang Zhao|Paddy Krishnan,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/1/Scalable-String-Analysis-An-Experience-Report
soap,2021-06-22T23:15:00+00:00,2021-06-22T23:45:00+00:00,"Break",,break,soap,,,
soap,2021-06-22T23:45:00+00:00,2021-06-23T00:45:00+00:00,"[Invited talk] Towards Intelligent Application Security",Cristina Cifuentes,colocated,soap,,Q&A in Zoom,https://pldi21.sigplan.org/details/SOAP-2021-papers/16/-Invited-talk-Towards-Intelligent-Application-Security
soap,2021-06-23T00:45:00+00:00,2021-06-23T01:00:00+00:00,"Award and send-off",Lisa Nguyen Quang Do|Caterina Urban,colocated,soap,,,https://pldi21.sigplan.org/details/SOAP-2021-papers/15/Award-and-send-off
